name,ppg,rpg,apg,fg_pct,three_pt_pct,spg,bpg,tov,freethrow_pct
De'Anthony Melton,10.1,4.1,2.6,.425,.390,1.6,0.5,1.3,.793
Aaron Nesmith,10.1,3.8,1.3,.427,.366,0.8,0.5,1.0,.838
James Wiseman,6.9,3.5,0.7,.628,.500,0.1,0.3,0.7,.684
James Wiseman,12.7,8.1,0.7,.531,.167,0.2,0.8,1.5,.712
Brandon Clarke,10.0,5.5,1.3,.656,.167,0.6,0.7,1.0,.723
Jonathan Kuminga,9.9,3.4,1.9,.525,.370,0.6,0.5,1.4,.652
Onyeka Okongwu,9.9,7.2,1.0,.638,.308,0.7,1.3,1.0,.781
Luka Šamanić,9.9,4.3,2.1,.456,.258,0.9,0.3,1.4,.692
Shaedon Sharpe,9.9,3.0,1.2,.472,.360,0.5,0.3,1.0,.714
Jalen Suggs,9.9,3.0,2.9,.419,.327,1.3,0.5,1.8,.723
Thomas Bryant,12.1,6.8,0.7,.654,.440,0.3,0.6,0.7,.741
Thomas Bryant,4.6,3.3,0.1,.485,.444,0.1,0.4,0.6,.722
Josh Hart,9.5,8.2,3.9,.504,.304,1.1,0.2,1.5,.731
Josh Hart,10.2,7.0,3.6,.586,.519,1.4,0.5,1.5,.789
Al Horford,9.8,6.2,3.0,.476,.446,0.5,1.0,0.6,.714
Herbert Jones,9.8,4.1,2.5,.469,.335,1.6,0.6,1.3,.764
Julian Champagnie,0.0,0.0,0.0,.000,.000,0.5,0.0,0.0,
Julian Champagnie,11.0,4.0,0.7,.461,.407,0.3,0.3,0.7,.824
Cam Reddish,8.4,1.6,1.0,.449,.304,0.8,0.4,0.8,.879
Cam Reddish,11.0,2.9,1.9,.443,.318,1.2,0.3,1.6,.833
Keita Bates-Diop,9.7,3.7,1.5,.508,.394,0.7,0.3,0.8,.793
Coby White,9.7,2.9,2.8,.443,.372,0.7,0.1,1.0,.871
Caleb Martin,9.6,4.8,1.6,.464,.356,1.0,0.4,1.1,.805
Isaiah Joe,9.5,2.4,1.2,.441,.409,0.7,0.1,0.5,.820
Andrew Nembhard,9.5,2.7,4.5,.441,.350,0.9,0.2,1.7,.790
Jalen McDaniels,10.6,4.8,2.0,.447,.322,1.2,0.5,1.4,.846
Jalen McDaniels,6.7,3.2,0.8,.488,.400,0.7,0.2,0.5,.824
Kyle Anderson,9.4,5.3,4.9,.509,.410,1.1,0.9,1.5,.735
Chris Boucher,9.4,5.5,0.4,.493,.328,0.6,0.8,0.5,.762
Donte DiVincenzo,9.4,4.5,3.5,.435,.397,1.3,0.1,1.6,.817
Jalen Smith,9.4,5.8,1.0,.476,.283,0.3,0.9,1.1,.759
Gabe Vincent,9.4,2.1,2.5,.402,.334,0.9,0.1,1.4,.872
Luke Kennard,7.8,2.4,1.1,.464,.447,0.5,0.1,0.9,.950
Luke Kennard,11.3,3.1,2.3,.526,.540,0.5,0.0,0.7,.947
Hamidou Diallo,9.3,3.5,1.0,.573,.238,0.9,0.3,1.3,.588
Tari Eason,9.3,6.0,1.1,.448,.343,1.2,0.6,1.2,.752
Precious Achiuwa,9.2,6.0,0.9,.485,.269,0.6,0.5,1.1,.702
Deni Avdija,9.2,6.4,2.8,.437,.297,0.9,0.4,1.6,.739
Seth Curry,9.2,1.6,1.6,.463,.405,0.6,0.1,0.8,.927
Walker Kessler,9.2,8.4,0.9,.720,.333,0.4,2.3,0.8,.516
Bol Bol,9.1,5.8,1.0,.546,.265,0.4,1.2,1.6,.759
Jalen Duren,9.1,8.9,1.1,.648,.000,0.7,0.9,1.4,.611
Josh Green,9.1,3.0,1.7,.537,.402,0.7,0.1,1.2,.723
Naji Marshall,9.1,3.6,2.5,.433,.303,0.7,0.2,1.3,.789
Taurean Prince,9.1,2.4,1.6,.467,.381,0.5,0.3,1.3,.844
Jae'Sean Tate,9.1,3.8,2.7,.480,.283,0.7,0.2,1.5,.725
Santi Aldama,9.0,4.8,1.3,.470,.353,0.6,0.6,0.8,.750
Jose Alvarado,9.0,2.3,3.0,.411,.336,1.1,0.2,1.3,.813
Daniel Gafford,9.0,5.6,1.1,.732,,0.4,1.3,1.1,.679
Mark Williams,9.0,7.1,0.4,.637,,0.7,1.0,0.9,.691
AJ Griffin,8.9,2.1,1.0,.465,.390,0.6,0.2,0.6,.894
Jaden Hardy,8.8,1.9,1.4,.438,.404,0.4,0.1,1.0,.823
Shaquille Harrison,8.8,4.4,6.0,.417,.300,2.2,0.4,1.2,.733
Terance Mann,8.8,3.4,2.3,.519,.389,0.5,0.3,1.0,.780
Royce O'Neale,8.8,5.1,3.7,.386,.389,0.9,0.6,1.5,.725
Dennis Smith Jr.,8.8,3.1,4.8,.412,.216,1.4,0.5,1.5,.736
Jordan Nwora,6.0,3.1,1.0,.386,.392,0.3,0.2,0.9,.860
Jordan Nwora,13.0,4.7,2.1,.476,.422,0.5,0.3,1.3,.721
T.J. McConnell,8.7,3.1,5.3,.543,.441,1.1,0.1,1.9,.853
Cedi Osman,8.7,2.3,1.5,.451,.372,0.5,0.1,0.7,.694
Landry Shamet,8.7,1.7,2.3,.377,.377,0.7,0.1,0.9,.882
Steven Adams,8.6,11.5,2.3,.597,.000,0.9,1.1,1.9,.364
Ayo Dosunmu,8.6,2.8,2.6,.493,.312,0.8,0.3,1.2,.805
Draymond Green,8.5,7.2,6.8,.527,.305,1.0,0.8,2.8,.713
